timestamp,long_flux,short_flux,goes_class
2025-07-28 02:59:00,8.682341504548977e-07,1.4410273573677592e-08,B
2025-07-28 03:00:00,8.703071470052713e-07,1.778790945322537e-08,B
2025-07-28 03:01:00,8.742224993317801e-07,1.462927260934136e-08,B
2025-07-28 03:02:00,8.747591179792939e-07,1.5330989705428825e-08,B
2025-07-28 03:03:00,8.793122693070294e-07,1.4765147623677771e-08,B
2025-07-28 03:04:00,8.797250419864541e-07,1.5642750448333394e-08,B
2025-07-28 03:05:00,8.869426680024338e-07,1.583811793827871e-08,B
2025-07-28 03:06:00,8.939912351677061e-07,1.7141538915075707e-08,B
2025-07-28 03:07:00,9.073669761925035e-07,1.8075781700212666e-08,B
2025-07-28 03:08:00,9.145247731123432e-07,1.8892855868100297e-08,B
2025-07-28 03:09:00,9.12047542509545e-07,1.8680335435154577e-08,B
2025-07-28 03:10:00,9.067848977196502e-07,1.5522731669265302e-08,B
2025-07-28 03:11:00,8.982265805317466e-07,1.3789862586066262e-08,B
2025-07-28 03:12:00,8.960316986453048e-07,1.4335184071666035e-08,B
2025-07-28 03:13:00,8.915985829128762e-07,1.5328919157688278e-08,B
2025-07-28 03:14:00,8.894826900821678e-07,1.5619637188393538e-08,B
2025-07-28 03:15:00,8.959662392551197e-07,1.3592421084848568e-08,B
2025-07-28 03:16:00,9.038793445008613e-07,1.401953585099008e-08,B
2025-07-28 03:17:00,9.026215720354469e-07,1.4447171179777403e-08,B
2025-07-28 03:18:00,9.009559797229232e-07,1.2734304354169955e-08,B
2025-07-28 03:19:00,9.002762330741551e-07,1.4269732239187586e-08,B
2025-07-28 03:20:00,1.0775051846469039e-06,2.7356184885668945e-08,C
2025-07-28 03:21:00,1.569054985174873e-06,8.468321033112753e-08,C
2025-07-28 03:22:00,1.5475339083780856e-06,6.654485196029365e-08,C
2025-07-28 03:23:00,1.2808658852247658e-06,3.5914365077511304e-08,C
2025-07-28 03:24:00,1.1129353987464546e-06,2.2740720535250008e-08,C
